2024-11-22 10:58:58 LogWrapper init() ./logs/main.log
2024-11-22 10:58:58 Bot started with Trade Settings:
{'n_ma': 20, 'n_std': 2.5, 'maxspread': 0.0004, 'mingain': 0.0014, 'riskreward': 1.3}
{'n_ma': 10, 'n_std': 1.5, 'maxspread': 0.0004, 'mingain': 0.0014, 'riskreward': 1.3}
{'n_ma': 10, 'n_std': 1.5, 'maxspread': 0.04, 'mingain': 0.14, 'riskreward': 1.3}

2024-11-22 10:58:58 Bot started
2024-11-22 10:59:08 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:00:09 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:01:00 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:02:01 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:03:02 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:04:03 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:05:03 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:06:04 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:07:05 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:08:06 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:09:07 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:10:07 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:11:08 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:12:09 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:13:10 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:14:00 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:15:01 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:16:02 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:17:03 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
2024-11-22 11:18:04 process_candles triggered:['GBP_CHF', 'EUR_CHF', 'GBP_JPY']
